NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062179100,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,F,A,B,5,A,C,A,B,C,A,B,B,A,B,A,A,B,A,B,B,D,A
210062182259,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,B,B,7,A,C,A,B,B,A,A,B,A,A,A,A,B,A,A,A,C,A
210062183745,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,B,F,5,A,E,A,B,C,A,A,B,B,B,B,A,B,A,B,A,D,A
210062185403,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,C,F,B,5,A,C,A,B,C,A,A,B,A,B,A,A,A,A,B,A,D,A
210062186077,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,E,F,B,7,A,E,A,B,D,A,A,B,A,B,B,A,C,A,B,A,E,A
210062186485,2024,2,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,C,B,6,A,C,A,B,D,A,A,B,A,B,B,A,C,A,B,A,E,A
210062186899,2024,2,F,1,3,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,D,D,F,B,4,A,D,A,B,C,B,A,B,A,B,B,A,B,A,B,A,E,A
210062187695,2024,3,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,B,D,10,B,C,A,B,C,A,A,C,A,B,A,A,C,A,B,B,E,A
210062187920,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,F,F,B,4,A,B,A,B,B,A,A,B,A,A,A,A,B,A,B,A,E,A
210062188003,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,D,B,C,5,A,F,A,B,B,B,A,B,A,B,A,A,B,A,B,A,C,A
210062188836,2024,2,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,F,E,D,B,3,A,C,A,B,C,A,A,B,A,B,B,B,B,A,B,B,C,A
210062189331,2024,3,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,H,F,F,6,B,F,A,B,C,B,A,B,A,B,B,A,C,B,B,B,E,A
210062190173,2024,3,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,B,B,B,3,A,B,A,C,C,A,A,B,A,B,B,A,B,A,B,A,D,A
